packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
201921018464,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10045,255,6,TCP,31208,172.31.15.212,34.218.119.33
201921018465,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10301,255,6,TCP,30952,172.31.15.212,34.218.119.33
201921018466,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,10557,255,6,TCP,30696,172.31.15.212,34.218.119.33
201921018467,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,10813,255,6,TCP,28392,172.31.15.212,34.218.119.33
201921018468,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,11069,255,6,TCP,30184,172.31.15.212,34.218.119.33
201921018469,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,17633,253,6,TCP,34886,34.218.119.33,172.31.15.212
201921018461,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,51200,11325,255,6,TCP,3304,172.31.15.212,34.218.119.33
201921018462,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,11581,255,6,TCP,29672,172.31.15.212,34.218.119.33
201921018463,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,28672,11837,255,6,TCP,25320,172.31.15.212,34.218.119.33
201921018464,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,17889,253,6,TCP,34630,34.218.119.33,172.31.15.212
201921018465,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,18145,253,6,TCP,34374,34.218.119.33,172.31.15.212
201921018466,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,18401,253,6,TCP,34118,34.218.119.33,172.31.15.212
201921018467,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,18657,253,6,TCP,33862,34.218.119.33,172.31.15.212
201921018468,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,18913,253,6,TCP,33606,34.218.119.33,172.31.15.212
201921018469,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,19169,253,6,TCP,17990,34.218.119.33,172.31.15.212
201921018461,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,30720,12093,255,6,TCP,23016,172.31.15.212,34.218.119.33
201921018462,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,59392,19425,253,6,TCP,52549,34.218.119.33,172.31.15.212
201921018463,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,12349,255,6,TCP,28904,172.31.15.212,34.218.119.33
201921018464,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22529,12605,255,6,TCP,30695,172.31.15.212,34.218.119.33
201921018465,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,19681,253,6,TCP,32838,34.218.119.33,172.31.15.212
201921018466,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26629,12861,255,6,TCP,26339,172.31.15.212,34.218.119.33
201921018467,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,19937,253,6,TCP,32582,34.218.119.33,172.31.15.212
201921018478,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,53248,13117,255,6,TCP,64999,172.31.15.212,34.218.119.33
201921018479,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,20193,253,6,TCP,32326,34.218.119.33,172.31.15.212
201921018471,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,47105,20449,253,6,TCP,63812,34.218.119.33,172.31.15.212
