packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
20193141354321,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,6,45649,255,6,TCP,19918,172.31.15.212,34.218.119.34
20193141354322,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,31746,253,6,TCP,20517,34.218.119.34,172.31.15.212
20193141354323,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,32002,253,6,TCP,20261,34.218.119.34,172.31.15.212
20193141354394,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,34816,32258,253,6,TCP,64036,34.218.119.34,172.31.15.212
20193141354395,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,24576,46161,255,6,TCP,60371,172.31.15.212,34.218.119.34
20193141354396,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,46417,255,6,TCP,58067,172.31.15.212,34.218.119.34
20193141354397,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,32514,253,6,TCP,19749,34.218.119.34,172.31.15.212
20193141354398,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,32770,253,6,TCP,19493,34.218.119.34,172.31.15.212
20193141354439,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,33026,253,6,TCP,55076,34.218.119.34,172.31.15.212
20193141354431,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,46673,255,6,TCP,57811,172.31.15.212,34.218.119.34
20193141354432,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,33282,253,6,TCP,18981,34.218.119.34,172.31.15.212
20193141354453,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,33538,253,6,TCP,3365,34.218.119.34,172.31.15.212
20193141354474,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,57344,46929,255,6,TCP,26835,172.31.15.212,34.218.119.34
