eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,23066,253,6,29453,34.218.119.33,172.31.15.212
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,23322,253,6,65036,34.218.119.33,172.31.15.212
0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,12990,255,6,26215,172.31.15.212,34.218.119.33
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,23578,253,6,28941,34.218.119.33,172.31.15.212
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,23834,253,6,13325,34.218.119.33,172.31.15.212
0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,55296,13246,255,6,62822,172.31.15.212,34.218.119.33
