eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,43012,10943,255,6,11874,172.31.15.212,34.218.119.33
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,33819,253,6,18700,34.218.119.33,172.31.15.212
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,34075,253,6,18444,34.218.119.33,172.31.15.212
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,34331,253,6,54027,34.218.119.33,172.31.15.212
0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,11199,255,6,28006,172.31.15.212,34.218.119.33
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,34587,253,6,17932,34.218.119.33,172.31.15.212
0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,34843,253,6,2316,34.218.119.33,172.31.15.212
0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,55296,11455,255,6,64613,172.31.15.212,34.218.119.33
