eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,hdr_chksm,src_ip,dst_ip
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,15360,64201,64,6,13303,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,15360,31009,123,6,13732,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,64457,64,6,15095,192.168.1.168,172.217.10.100
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,33280,64713,64,6,60406,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,13312,34081,123,6,12708,172.217.10.100,192.168.1.168
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,36641,123,6,40350,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,64969,64,6,14583,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,36897,123,6,40094,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,65225,64,6,14327,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,37153,123,6,39838,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,65481,64,6,14071,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,37409,123,6,39582,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,202,64,6,13815,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,37665,123,6,39326,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,458,64,6,13559,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,37921,123,6,39070,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,714,64,6,13303,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,38433,123,6,38558,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,970,64,6,13047,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,48645,38689,123,6,38302,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,1226,64,6,12791,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,5635,38945,123,6,15521,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,1482,64,6,12535,192.168.1.168,172.217.10.100
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,1738,64,6,12279,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,5635,46113,123,6,8353,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,16384,1994,64,6,8951,192.168.1.168,172.217.10.100
20-C0-47-ED-6C-D2,B8-27-EB-6C-3D-87,8,4,20,128,13312,48161,123,6,64163,172.217.10.100,192.168.1.168
B8-27-EB-6C-3D-87,20-C0-47-ED-6C-D2,8,4,20,0,13312,2250,64,6,11767,192.168.1.168,172.217.10.100
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,8582,128,17,47918,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,58624,9094,128,17,63278,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,10118,128,17,46382,192.168.1.158,192.168.1.255
1C-1B-0D-04-CE-0B,FF-FF-FF-FF-FF-FF,8,4,20,0,8961,10374,128,17,46126,192.168.1.158,192.168.1.255
