packet_id, eth_src_addr,eth_dst_addr,eth_prot,IP_vers,IHL,type_svc,tot_len,id,TTL,IP_prot,IP_prot_name,hdr_chksm,src_ip,dst_ip
1,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,22533,23351,255,6,TCP,19945,172.31.15.212,34.218.119.33
2,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,38105,253,6,TCP,14414,34.218.119.33,172.31.15.212
3,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,38361,253,6,TCP,14158,34.218.119.33,172.31.15.212
4,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,43008,38617,253,6,TCP,49741,34.218.119.33,172.31.15.212
5,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,26624,23607,255,6,TCP,15598,172.31.15.212,34.218.119.33
6,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,13312,38873,253,6,TCP,13646,34.218.119.33,172.31.15.212
7,0A-82-EB-6A-D2-4A,0A-C6-BB-35-81-36,8,4,20,8,28672,39129,253,6,TCP,63565,34.218.119.33,172.31.15.212
8,0A-C6-BB-35-81-36,0A-82-EB-6A-D2-4A,8,4,20,8,55296,23863,255,6,TCP,52205,172.31.15.212,34.218.119.33
